,text
836,"Schools in Aleppo, Lattakia, Hama and Idleb remained closed."
837,"On 14 February, the Syrian government agreed to open the border crossings at Bab al-Salameh and Al-Rai for three months."
838,President al-Assad met UN relief chief Martin Griffiths met on 21 March to discuss post-earthquake recovery and aid.
840,Arab League secretary-general Ahmed Aboul Gheit called for international assistance to help those affected by this humanitarian catastrophe.
842,"The Secretariat of ASEAN expressed its heartfelt sympathies and condolences to the Governments and peoples of the affected countries, especially the families of the victims of the earthquake."
843,ASEAN affirms its solidarity with the Governments and peoples of Turkey and Syria in these trying times and stands ready to extend its assistance to the relief efforts.
845,"The European Union's European Civil Protection Mechanism, in which Turkey participates despite not being a member of the EU, was activated at the request of Turkey."
846,"The EU dispatched thirty-one rescue teams and five medical teams from 23 member states to Turkey, committed €3 million and €3."
847,"5 million to Turkey and Syria respectively, and announced a donor conference to raise money."
848,The Copernicus Programme was also activated to provide emergency mapping services and other help.
850,NATO secretary-general Jens Stoltenberg said that member countries were mobilizing support.
851,The Strategic Airlift Capability was used to transport search and rescue equipment.
852,NATO deployed fully equipped semi-permanent shelter facilities to house displaced persons in Turkey.
853,Flags at NATO headquarters were also lowered to half-mast.
854,"A vessel carrying the first 600 of 1,000 containers for temporary housing left Taranto, Italy for Turkey to accommodate at least 4,000 people."
856,"Several United Nations agencies announced coordinated responses to the disaster, including UNDAC, OCHA, UNHCR, UNICEF and IOM."
857,"The World Health Organization's Regional Director for Europe, Hans Kluge, said the organization's regional offices were assisting international efforts to transport medicine and relief equipment."
858,The UN released $25 million from its emergency fund for humanitarian assistance in Turkey and Syria.
859,A second $25 million grant was released for relief efforts in Syria.
860,UN sent humanitarian aid to Syria through Turkey via the Bab al-Hawa border crossing.
861,"Since then, 65 trucks have crossed, carrying health and nutrition items and other vital relief supplies for more than two million people."
862,"On 14 February, the UN appealed for €396 million to help survivors in Syria."
864,The World Bank said it would provide US$1.
865,78 billion in aid for Turkey to support the relief and recovery process.
866,"We are providing immediate assistance and preparing a rapid assessment of the urgent and massive needs on the ground, said World Bank President David Malpass."
868,"The Turkish Government was criticized on social media for allegedly trying to cover up the fact that there were not two, but three mainshocks above Mw 7."
869,"However, professor Hasan Sözbilir, Director of Dokuz Eylül University (DEU) Earthquake Research and Application Center, told Anadolu Agency that there were only 2 mainshocks reaching above Mw 7 between 6 and 17 February 2023, but of the smaller quakes, there was one that reached Mw 6."
870,7.
871,"Additional allegations were made when the death toll in Turkey was at 41,000, could in fact be up to five times higher."
872,The Justice and Development Party (AKP) government was accused of manipulating the death toll of the earthquakes to mask the scale of the disaster amid growing criticism due to what many say was a delayed and ineffective response to the tragedy.
873,The collapse of many newly constructed buildings caused public anger and doubts about the Turkish construction and contracting industry following seismic codes.
874,"After the 1999 İzmit earthquake, new building codes were enacted to make buildings more resilient to earthquakes."
875,"The quality of the concrete is often a factor in collapse, especially in older buildings, but the engineering and design of newer high rise buildings, and improper placement of support columns and beams, may contribute to collapse."
876,"The building codes, last updated in 2018, required quality standards in engineering design, construction and material."
877,There were complaints that the building codes were poorly enforced.
878,"After the earthquake, Erdoğan had claimed 98 percent of the destroyed buildings were built in before 1999 and described it as the indicator of an improvement in the quality of building codes and enforcement."
879,"Erdoğan's claim was criticized by civil engineer and earthquake engineering academic Haluk Sucuoğlu, stating that field observations and more than half of the buildings in earthquake-affected areas being built after 2000 making Erdoğan's claims unlikely, though accepting that concrete data on the destroyed buildings do not exist yet."
880,"The comparison of historical satellite images with those taken after the earthquake, especially of those showing the destruction in the newly built area of western Kahramanmaraş, were used to dispute Erdoğan's claim."
881,"In Adıyaman, the minister of transport and infrastructure, Adil Karaismailoğlu, and governor, Mahmut Çuhadar, were met with protests by locals."
882,The state car of the governor was also kicked by protesters.
883,Turkish engineers previously warned that cities could become 'graveyards' with building amnesty.
884,Critics of President Erdoğan said contractors of housing projects were allowed to skip vital safety mandates which put residents at risk.
885,Videos from several years ago showed Erdoğan applauding housing projects which eventually collapsed.
886,"During a campaign stop in anticipation of the March 2019 local elections, he listed, among his government's top attainment, new housing in Kahramanmaras."
887,"Erdoğan said We solved the problem of 144,156 citizens of Maras with zoning amnesty, In another video, he said We have solved the problems of 205,000 citizens of Hatay with zoning peace,Before the 2018 general election, 3."
888,"1 million buildings were granted amnesty certificates, according to Istanbul Metropolitan Municipality Secretary General Assistant and city planner, Bugra Gokce."
889,"In the ten affected provinces, 294,165 certificates were granted; 59,247 in Adana; 10,629 in Adıyaman; 14,719 in Diyarbakır; 40,224 in Gaziantep; 56,464 in Hatay; 39,58 in Kahramanmaraş; 4,897 in Kilis; 22,299 in Malatya; 21,107 in Osmaniye; and 25,521 in Şanlıurfa."
890,"After a destructive earthquake struck İzmir in 2020, Asia Times said the Turkish government generated US$2 billion in profit since the latest zoning amnesty law was approved in May 2018."
891,"During that earthquake, there were 811,000 certificates linked to illegal construction in İzmir."
892,"The leader of the opposition in Parliament, Kemal Kılıçdaroğlu of the Republican People's Party (CHP), pinned responsibility for the scale of the disaster on President Erdoğan."
893,He demanded from the CHP mayors not to back down from providing bread and blankets to people in need and reject bureaucratic blocking as they did during the COVID-19 lockdown.
894,It has also been reported that some donations from relief organizations arriving at the Adana airport were relabeled as assistance by the Disaster and Emergency Management Presidency (AFAD) or also the governing AKP.
895,"Questions also arose as to how an earthquake tax (officially special communications tax) levied by the Turkish government in the wake of the 1999 earthquake, estimated to have reached 88bn lira ($4."
896,6bn; £3.
897,"8bn) and meant to have been spent on disaster prevention and the development of emergency services, were spent, given how the government has never given a public explanation."
898,Some Kurdish and Alevi residents alleged discrimination and neglect in the government's recovery efforts.
899,The pro-Kurdish Peoples' Democratic Party (HDP) accused Turkish authorities of preventing equal distribution of aid and favoring areas inhabited majorly by people loyal to the governing AKP.
901,"AFAD, the state organ for the disaster relief, was criticized on the grounds of slowness during the first days of the earthquake."
902,There were reports of unsuccessful attempts by people to contact AFAD.
903,Emergency management academic Kubilay Kaptan stated that the delayed reaction of AFAD was mainly caused by the increasing centralization of Turkish emergency response agencies under the current government.
904,"According to Kaptan, numerous relief agencies were merged into AFAD in the past years and since the implementation of the referendum, AFAD became part of the Ministry of Interior, losing its autonomy and self-governance."
905,"Kaptan added that the Ministry of Interior, responsible for making decisions, hindered the fast response since the organization required approval for its actions, contrasting more independent agencies like FEMA in the United States."
906,"AFAD was also criticized on the claims of inappropriate board of management, since some members of the board had no disaster management background."
907,"İsmail Palakoğlu, the general manager of disaster response subdivision of AFAD and a theologian who previously worked at the Directorate of Religious Affairs, was criticized by several politicians and media outlets."
908,Another criticism was the late deployment of military resources.
909,"They were not mobilized for two days after the earthquake, and even then in what many considered in very modest amounts."
910,"There were many instances where aid was forced to go through local governors, who were not elected but appointed by the government."
911,"In some instances, aid was held by the ruling party with the explanation that it would be managed by AFAD."
912,"There were reports of aid trucks stopped and not let through unless ruling party placards and signs were placed on them, including stickers of the president placed on individual aid packages."
913,On 16 February the district governor of Pazarcik accompanied by the gendarmerie seized aid stored in a distribution center established jointly by the HDP and the Hasankoca Neighborhood Assistance and Solidarity Association in presence of the head of the Diyarbakır Chamber of Industry arguing they could not distribute aid independently.
914,"On 9 February 2023, the governing alliance between the MHP and the AKP approved a state of emergency in 10 provinces affected by the earthquakes."
915,"The opposition voted no to the measure, claiming that it was unnecessary since the provinces were already declared as disaster areas."
916,"A week after the earthquakes in Samandağ, a coastal town in Hatay Province, residents dug through the rubble to look for victims because of the slow and limited government response."
917,"We have nothing left and the government barely helped us, one resident said, adding that assistance only came 48 hours after the earthquake."
919,"NetBlocks announced that ICTA limited access to Twitter from Turkey, with Turkish government officials claiming disinformation."
920,"According to Reuters, citing an anonymous government official, the block was necessary because in some accounts there were untrue claims, slander, insults and posts with fraudulent purposes, The block caused public anger as Twitter assisted in sharing information on arriving aid and the whereabouts of survivors still trapped in rubble."
921,The Peoples' Democratic Party said Twitter helped in organizing aid to the affected and the block would only cause more death.
922,"Ali Babacan, leader of the Turkey's opposition group, Democracy and Progress Party, also criticized the block."
923,"The Committee to Protect Journalists (CPJ) issued a statement critical of fines and penalties issued to Halk TV, Tele1, and Fox over their coverage of the earthquake by the Radio and Television Supreme Council."
924,"In addition to the fines, both Halk TV and TELE1 were required to suspend airing of the shows that had criticized the government for five days."
925,The CPJ's statement said that Turkey officials should revoke both the fine and penalties along with refraining from silencing the media for its earthquake coverage.
927,"On 7 February, Turkish police said they detained four people over provocative posts aiming to create fear and panic on social media following the earthquake."
928,"It added that a wider investigation into social media accounts was ongoing, but offered no information on the content of the posts."
929,The number of detentions increased to a dozen on 8 February.
930,"Following reports of property being ransacked by looters, authorities arrested 98 people for robbery or defrauding victims."
931,"Syrians have faced increased discrimination in the country, with some Turks blaming them for the looting."
932,Amnesty International and Human Rights Watch alleged that Turkish security forces tortured and ill-treated individuals arrested on suspicion of looting.
933,"In a report from both organizations, one person died while being held by authorities."
934,"The report said allegations of torture came from 10 provinces, with most of them coming from Antakya alone."
935,"On 9 February, minister of justice, Bekir Bozdağ, said a judicial investigation into the collapse of buildings was opened."
936,The probe attempts to hold accountable those who constructed the buildings or bore any responsibility for their collapse in the 10 hardest-hit provinces.
937,"Bozdağ said: Those who have negligence, faults and those responsible for the destructions after the earthquake will be identified and held accountable before the judiciary."
938,"Nearly 150 local prosecutors were authorized to establish units to investigate contractors, surveyors and other experts linked to the collapsed buildings."
939,"On 11 February, the justice ministry announced the plan to establish the Earthquake Crimes Investigation bureaus."
940,"The bureaus aim to hold contractors and other responsible for construction, gathering evidence, recommendation experts; including architects geologists and engineers; and inspecting building permits and occupation permits."
941,Vice President Fuat Oktay said 131 individuals linked to the collapse of buildings were identified.
942,"By 25 February, 612 people were investigated for their involvement in building collapses; 184 were arrested and awaiting trial."
943,Those in jail included contractors and building owners and managers.
944,"On 12 February, the Adana Chief Public Prosecutor's Office issued arrest warrants for 62 people; Thirty one arrests were made on 14 February."
945,"In Malatya, city prosecutors issued arrest warrants for 31 people."
946,The Committee to Protect Journalists (CPJ) published an article on 14 February covering journalists being detained and harassed for their reporting on the earthquake in Turkey.
947,Some of those detained were being investigated for spreading misinformation or for provoking the people into animosity and hatred in connection with their reporting.
948,The owner of the Renaissance Residence which collapsed in Hatay Province was arrested in Istanbul while attempting to leave Turkey for Montenegro.
949,"In Gaziantep Province, two people were arrested after being suspected of cutting-down columns to make extra space in a building that collapsed."
950,Bekir Bozdağ said 163 people were being investigated for their alleged involvement.
951,Eight people were arrested and awaiting trial while 48 were held in police detention; another seven were prohibited from leaving Turkey.
952,Officials detained two people at Istanbul Airport attempting to flee to Georgia.
953,Among those arrested were a man and his wife who constructed several buildings in Adiyaman which collapsed.
954,A contractor involved in developing the Bahar Apartments in Gaziantep was detained in Istanbul after his inspections were deemed negligent.
955,The owner of a construction company which built several buildings in Adana was apprehended in Northern Cyprus.
956,"The majority of buildings that collapsed in Turkey were constructed before 2000, but some were constructed after that year."
957,"Following the 1999 earthquake, building construction followed new regulations and had improved materials."
958,"Sukru Ersoy, a geology professor at Yıldız Technical University, said corruption is high in the construction sector in Turkey."
959,"And therefore, there were abuses."
960,"However, corruption was not always present in local authorities; in Erzin, which has a strict policy against the construction of buildings that violated safety codes in addition to having endured other earthquakes with less damage, became a popular location for survivors elsewhere to take refuge as no collapsed buildings were reported."
962,President Erdoğan declared seven days of national mourning in Turkey on Twitter.
963,"Seven days of national mourning was observed in Northern Cyprus, and one day in Bangladesh and Kosovo."
964,"Albania's prime minister, Edi Rama, said 13 February would be a day of national mourning."
965,"On 13 February, all overseas diplomatic missions of North Macedonia lowered the North Macedonian flags to half-mast."
967,"Investigative reports revealed that Syrian government had deliberately obstructed aid to all of Syria's opposition-held areas, including the Idlib region, which was the worst-struck area in the earthquake."
968,Syrian government officials and state-run media blamed United States and European Union sanctions against the country for the lack of humanitarian aid and hampering rescue.
969,"On 10 February, Syrian president Bashar al-Assad accused Western countries of having no regard for the human condition."
970,"The US Treasury said its sanctions contain robust exemptions for humanitarian efforts in the first place, and that after the earthquake it issued a blanket authorization for relief efforts."
971,"The United Nations has also been criticized for its policy of focusing aid shipments solely to the regime, at the expense of Syrian lives in opposition-held territories."
972,"Idlib region, under the control of Syrian Salvation Government (SSG), was one of the hardest-hit territories."
973,"Assad regime's policy of besieging North-West Syria; which blockades the supply of food, medicines and other humanitarian supplies, has further deteriorated the crisis in Idlib."
974,"Abu Muhammad Al-Julani, commander of the SSG-aligned Tahrir al-Sham rebel militia, criticized aid agencies of neglecting the situation in Idlib and called on the international community to be more proactive in reconstruction and relief efforts, adding that the United Nations needs to understand that it's required to help in a crisis."
975,"Upon traveling to the Bab al-Hawa Border Crossing bordering the rebel-held territories, UNOCHA Under-Secretary Martin Griffith stated on 12 February that We have so far failed the people in north-west Syria."
976,"As of 13 February, Ankara and the Turkish-backed Free Syrian Army were accused of blocking aid convoys sent by the Autonomous Administration of North and East Syria from entering the north-west region."
977,The United Nations criticized Russia's attempts to block delivery of aid through checkpoints to rebel-held territories.
978,Secretary General António Guterres urged the Security Council to immediately permit aid flows into Northwestern Syria.
979,United States appealed for the immediate opening of all closed checkpoints to send in relief efforts to all parts of Syria; calling for an emergency UN Security Council meeting to increase humanitarian assistance through Bab al-Hawa and open up more border crossings for the entry of UN aid.
980,"Stéphane Dujarric, a United Nations spokesperson, said on 14 February, some aid is getting into the north-west, pointing to 58 trucks that arrived with aid through the Bab Al-Hawa crossing."
981,"However, the organization does not possess heavy equipment or search and rescue teams."
982,He stressed that the international community as a whole needs to step up to get that aid where it is needed.
984,"Raed al-Saleh, chief of Syrian Civil Defence, strongly rebuked the UN for its negligence and delay in responding to the rescue efforts:Let me be clear: The White Helmets received no support from the United Nations during the most critical moments of the rescue operations."
985,.
986,The UN's failure to respond quickly to this catastrophe is shameful.
987,"When I asked the UN why help had failed to arrive in time, the answer I received was bureaucracy."
988,"In the face of one of the deadliest catastrophes to strike the world in years, it seems the UN's hands were tied by red tape."
990,"Due to below-freezing temperatures in the affected areas in both Turkey and Syria, the mayor of Hatay, Lütfü Savaş, warned about the hypothermia risk."
991,"In Adiyaman Province, some residents trapped under rubble died from hypothermia."
992,Concerns arose regarding the possible spread of infection in areas where sanitation facilities were damaged or unfunctional.
993,"Due to water shortage experienced in both countries, many survivors could not shower."
994,International health organizations said the shortage of clean water would be a public health risk.
995,The World Health Organization said water shortage increases the risk of waterborne diseases and outbreaks of communicable diseases.
996,"On 18 February, Turkey's Health Minister Fahrettin Koca said there was an increase in intestinal and upper respiratory infection cases but numbers did not pose a serious threat to public health."
997,"At a stadium serving as shelter in Kahramanmaraş, a clinic managed by 15 to 30 medics attended up to 10,000 patients in the day."
998,The clinic provided tetanus shots and sanitary items to residents.
999,Many people at the stadium were unable to shower and the six toilets were unable to accommodate to the large number of people.
1000,"In Antakya, residents said more portable toilets were needed."
1001,Health authorities in Turkey had to ensure earthquake survivors were free of disease.
1002,"The World Health Organization collaborated with local authorities to monitor the rates of waterborne diseases, seasonal influenza and COVID-19 among the affected."
